city,city_ascii,province_id,province_name,lat,lng,population,density,timezone,ranking,postal,id
Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,QC,Quebec,46.05,-74.28,12136.0,86.8,America/Toronto,3,J8C,1124041166
Quesnel,Quesnel,BC,British Columbia,52.9784,-122.4927,12110.0,279.8,America/Vancouver,3,V2J,1124028015
Les Îles-de-la-Madeleine,Les Iles-de-la-Madeleine,QC,Quebec,47.3833,-61.8667,12010.0,69.5,America/Halifax,3,G4T,1124000721
Taché,Tache,MB,Manitoba,49.7081,-96.6736,11916.0,20.5,America/Winnipeg,3,R5J R5K R0A,1124000169
Wellington North,Wellington North,ON,Ontario,43.9,-80.57,11914.0,22.6,America/Toronto,3,N0G,1124001997
St. Andrews,St. Andrews,MB,Manitoba,50.27,-96.9747,11913.0,15.8,America/Winnipeg,3,R0C R1A,1124001672
Williams Lake,Williams Lake,BC,British Columbia,52.1294,-122.1383,11906.0,330.5,America/Vancouver,3,V2G,1124821980
Gander,Gander,NL,Newfoundland and Labrador,48.9569,-54.6089,11880.0,113.7,America/St_Johns,3,A1V,1124310517
Whistler,Whistler,BC,British Columbia,50.1208,-122.9544,11854.0,49.3,America/Vancouver,3,V8E,1124001562
Brighton,Brighton,ON,Ontario,44.1222,-77.7642,11844.0,43.2,America/Toronto,3,K0K,1124672085
Tiny,Tiny,ON,Ontario,44.6833,-79.95,11787.0,35.0,America/Toronto,3,L0L L9M,1124000103
Hawkesbury,Hawkesbury,ON,Ontario,45.6,-74.6,11755.0,1009.7,America/Toronto,3,K6A,1124065659
Carignan,Carignan,QC,Quebec,45.45,-73.3,11740.0,189.1,America/Toronto,3,J3L,1124001655
Brock,Brock,ON,Ontario,44.3167,-79.0833,11642.0,27.5,America/Toronto,3,L0K L0E L0C,1124001106
L’Île-Perrot,L'Ile-Perrot,QC,Quebec,45.3833,-73.95,11638.0,2130.1,America/Toronto,2,J7V,1124063001
Summerland,Summerland,BC,British Columbia,49.6006,-119.6778,11615.0,156.8,America/Vancouver,3,V0H,1124400731
St. Clements,St. Clements,MB,Manitoba,50.2689,-96.6742,11586.0,16.3,America/Winnipeg,3,R0E R1B R1C R1A,1124000566
View Royal,View Royal,BC,British Columbia,48.4517,-123.4339,11575.0,807.6,America/Vancouver,3,V9B,1124001985
Montmagny,Montmagny,QC,Quebec,46.9833,-70.55,11491.0,91.1,America/Toronto,3,G5V,1124025705
Cantley,Cantley,QC,Quebec,45.5667,-75.7833,11449.0,90.8,America/Toronto,3,J8V,1124000263
Erin,Erin,ON,Ontario,43.7667,-80.0667,11439.0,38.4,America/Toronto,3,L7J L0N N0B,1124418313
Notre-Dame-de-l'Île-Perrot,Notre-Dame-de-l'Ile-Perrot,QC,Quebec,45.3667,-73.9333,11427.0,407.3,America/Toronto,3,J7V,1124001191
Kincardine,Kincardine,ON,Ontario,44.1667,-81.6333,11389.0,21.2,America/Toronto,3,N2Z N0G,1124781881
Elliot Lake,Elliot Lake,ON,Ontario,46.3833,-82.65,11372.0,16.3,America/Toronto,3,P5A,1124793448
Bromont,Bromont,QC,Quebec,45.3167,-72.65,11357.0,99.6,America/Toronto,3,J2L,1124286457
Arnprior,Arnprior,ON,Ontario,45.4333,-76.35,11305.0,738.5,America/Toronto,3,K7S,1124700031
North Dundas,North Dundas,ON,Ontario,45.0833,-75.35,11278.0,22.4,America/Toronto,3,K0C K0E,1124000474
Wellesley,Wellesley,ON,Ontario,43.55,-80.7167,11260.0,40.5,America/Toronto,3,N0B,1124590159
Nelson,Nelson,BC,British Columbia,49.5,-117.2833,11198.0,930.6,America/Vancouver,3,V0G V1L,1124361295
Ladysmith,Ladysmith,BC,British Columbia,48.9975,-123.8203,11194.0,746.5,America/Vancouver,3,V9G,1124872385
Coldstream,Coldstream,BC,British Columbia,50.22,-119.2481,11171.0,167.8,America/Vancouver,3,V1B,1124000216
Georgian Bluffs,Georgian Bluffs,ON,Ontario,44.65,-81.0333,11100.0,18.5,America/Toronto,3,N4K N0H,1124001470
Weyburn,Weyburn,SK,Saskatchewan,49.6611,-103.8525,11019.0,579.1,America/Regina,3,S4H,1124618383
La Tuque,La Tuque,QC,Quebec,48.0652,-74.0528,11001.0,0.4,America/Toronto,3,G9X G0X,1124000430
Norwich,Norwich,ON,Ontario,42.9833,-80.6,11001.0,25.5,America/Toronto,3,N4S N4G N0J,1124219807
Meaford,Meaford,ON,Ontario,44.58,-80.73,10991.0,18.7,America/Toronto,3,N4K N4L N0H,1124445257
Adjala-Tosorontio,Adjala-Tosorontio,ON,Ontario,44.1333,-79.9333,10975.0,29.5,America/Toronto,3,L0N L0M L0G L9R,1124000498
Hamilton Township,Hamilton Township,ON,Ontario,44.054,-78.2164,10942.0,42.7,America/Toronto,3,K9A K0K K0L,1124000994
Stratford,Stratford,PE,Prince Edward Island,46.2167,-63.0893,10927.0,482.0,America/Halifax,3,C1B,1124001331
Estevan,Estevan,SK,Saskatchewan,49.1392,-102.9861,10851.0,592.9,America/Regina,3,S4A,1124416742
South Dundas,South Dundas,ON,Ontario,44.9167,-75.2667,10833.0,20.8,America/Toronto,3,K0C K0E,1124001404
Lambton Shores,Lambton Shores,ON,Ontario,43.1833,-81.9,10631.0,32.1,America/Toronto,3,N0M N0N,1124001891
North Dumfries,North Dumfries,ON,Ontario,43.32,-80.38,10619.0,56.5,America/Toronto,3,N0B N1R,1124000802
Martensville,Martensville,SK,Saskatchewan,52.2897,-106.6667,10549.0,777.9,America/Regina,3,S0K,1124000654
Mapleton,Mapleton,ON,Ontario,43.7358,-80.6681,10527.0,19.7,America/Toronto,3,N0G N0B,1124000835
Rawdon,Rawdon,QC,Quebec,46.05,-73.7167,10416.0,55.7,America/Toronto,3,J0K,1124084263
Morinville,Morinville,AB,Alberta,53.8022,-113.6497,10385.0,931.0,America/Edmonton,3,T8R,1124322535
Blackfalds,Blackfalds,AB,Alberta,52.3833,-113.8,10315.0,567.3,America/Edmonton,3,T0M T4M,1124056144
Chester,Chester,NS,Nova Scotia,44.65,-64.3,10310.0,9.2,America/Halifax,3,B0J,1124772236
Queens,Queens,NS,Nova Scotia,44.0333,-64.7167,10307.0,4.3,America/Halifax,3,B0T,1124001652
Selkirk,Selkirk,MB,Manitoba,50.1436,-96.8839,10278.0,413.4,America/Winnipeg,3,R1A,1124499880
Saint-Félicien,Saint-Felicien,QC,Quebec,48.65,-72.45,10278.0,28.3,America/Toronto,3,G8K,1124555496
Roberval,Roberval,QC,Quebec,48.52,-72.23,10227.0,66.8,America/Toronto,3,G8H,1124395055
Rideau Lakes,Rideau Lakes,ON,Ontario,44.6667,-76.2167,10207.0,14.0,America/Toronto,3,K7A K0E K0G,1124000369
Sechelt,Sechelt,BC,British Columbia,49.4742,-123.7542,10200.0,212.9,America/Vancouver,3,V0N,1124845591
Bois-des-Filion,Bois-des-Filion,QC,Quebec,45.6667,-73.75,10159.0,2327.8,America/Toronto,2,J6Z,1124978470
North Glengarry,North Glengarry,ON,Ontario,45.3333,-74.7333,10109.0,15.7,America/Toronto,3,K0B K0C,1124000836
South Huron,South Huron,ON,Ontario,43.32,-81.5,10096.0,23.4,America/Toronto,3,N0M N0K,1124000910
Marieville,Marieville,QC,Quebec,45.4333,-73.1667,10094.0,160.8,America/Toronto,3,J3M,1124834229
Penetanguishene,Penetanguishene,ON,Ontario,44.7667,-79.9333,10077.0,396.4,America/Toronto,3,L9M,1124304117
Tay,Tay,ON,Ontario,44.7167,-79.7667,10033.0,72.1,America/Toronto,3,L0K L4R,1124001057
Castlegar,Castlegar,BC,British Columbia,49.3256,-117.6661,10029.0,408.6,America/Vancouver,3,V1N,1124379972
Cavan Monaghan,Cavan Monaghan,ON,Ontario,44.2,-78.4667,10016.0,32.7,America/Toronto,3,L0A K0L,1124001281
Morden,Morden,MB,Manitoba,49.1919,-98.1006,9929.0,609.6,America/Winnipeg,3,R6M,1124327817
Temiskaming Shores,Temiskaming Shores,ON,Ontario,47.5167,-79.6833,9920.0,55.7,America/Toronto,3,P0J,1124001880
Hinton,Hinton,AB,Alberta,53.4114,-117.5639,9882.0,294.8,America/Edmonton,3,T7V,1124131074
Saint-Sauveur,Saint-Sauveur,QC,Quebec,45.9,-74.17,9881.0,206.8,America/Toronto,3,J0R,1124720935
Grey Highlands,Grey Highlands,ON,Ontario,44.3333,-80.5,9804.0,11.1,America/Toronto,3,N4L N0C,1124000119
East St. Paul,East St. Paul,MB,Manitoba,49.9772,-97.0103,9725.0,232.7,America/Winnipeg,3,R2E,1124000695
Stoneham-et-Tewkesbury,Stoneham-et-Tewkesbury,QC,Quebec,47.1667,-71.4333,9682.0,14.5,America/Toronto,3,G3C,1124000439
Alfred and Plantagenet,Alfred and Plantagenet,ON,Ontario,45.5667,-74.9167,9680.0,24.7,America/Toronto,3,K0B,1124001813
Mont-Tremblant,Mont-Tremblant,QC,Quebec,46.1167,-74.6,9646.0,40.5,America/Toronto,3,J8E,1124041173
Saint-Zotique,Saint-Zotique,QC,Quebec,45.25,-74.25,9618.0,384.0,America/Toronto,3,J0P,1124170824
Saint-Raymond,Saint-Raymond,QC,Quebec,46.9,-71.8333,9615.0,14.3,America/Toronto,3,G3L,1124162305
Gibsons,Gibsons,BC,British Columbia,49.4028,-123.5036,9603.0,1066.0,America/Vancouver,3,V0N,1124342069
Amherst,Amherst,NS,Nova Scotia,45.8167,-64.2167,9548.0,779.7,America/Halifax,3,B4H,1124895094
