id,name,county,province,province_code,postcode_area,type,map_reference,latitude,longitude,census_division,area_code,time_zone
25321,Taghum,Central Kootenay,British Columbia,BC,V1L,Locality,082F06,49.48306,-117.38444,Central Kootenay,250,America/Vancouver
25322,Tagish,,Yukon,YT,Y0B,Locality,105D08,60.31484,-134.27151,Yukon,250,America/Whitehorse
25323,Tahltan,Kitimat-Stikine,British Columbia,BC,V0C,Locality,104J02,58.01667,-131.00000,Kitimat-Stikine,250,America/Vancouver
25324,Tahsis,Strathcona,British Columbia,BC,V0P,Village,092E15,49.91639,-126.66444,Strathcona,250,America/Vancouver
25325,Taits Beach,Northumberland,Ontario,ON,K0L,Locality,031D01,44.10556,-78.27778,Northumberland,289,America/Toronto
25326,Takhini,,Yukon,YT,Y1A,Locality,105D11,60.73750,-135.09444,Yukon,250,America/Whitehorse
25327,Takhini Hotspring,,Yukon,YT,Y1A,Locality,105D14,60.87879,-135.35921,Yukon,250,America/Whitehorse
25328,Takipy,,Manitoba,MB,R0B,Locality,063N07,55.41361,-100.95944,Division No. 21,204,America/Winnipeg
25329,Takla Landing,Bulkley-Nechako,British Columbia,BC,V0J,Locality,093N05,55.48333,-125.96667,Bulkley-Nechako,250,America/Vancouver
25330,Tako,,Saskatchewan,SK,S0K,Locality,073C06,52.39939,-109.01949,Division No. 13,306,America/Regina
25331,Taku,Stikine,British Columbia,BC,V0C,Locality,104N12,59.63333,-133.85000,Stikine,250,America/Vancouver
25332,Takysie Lake,Bulkley-Nechako,British Columbia,BC,V0J,Locality,093F13,53.88306,-125.86806,Bulkley-Nechako,250,America/Vancouver
25333,Talbot,,Alberta,AB,T0C,Locality,073D03,52.23028,-111.26556,Division No.  7,587,America/Edmonton
25334,Talbot,Simcoe,Ontario,ON,L0K,Locality,031D11,44.50847,-79.12063,Simcoe,705,America/Toronto
25335,Talbot,Portneuf,Quebec,QC,G0A,Locality,031P01,47.08278,-72.24472,Portneuf,581,America/Montreal
25336,Talbot,Lac-Saint-Jean-Est,Quebec,QC,G8B,Locality,022D12,48.57556,-71.62444,Lac-Saint-Jean-Est,581,America/Montreal
25337,Talbotville Royal,Elgin,Ontario,ON,N5P,Locality,040I14,42.80323,-81.25250,Elgin,519,America/Toronto
25338,Talcville,,Newfoundland and Labrador,NL,A1W,Locality,001N10,47.51111,-52.96167,Division No.  1,709,America/St_Johns
25339,Tallheo,Central Coast,British Columbia,BC,V0T,Locality,093D07,52.38333,-126.83333,Central Coast,250,America/Vancouver
25340,Tallman,,Saskatchewan,SK,S0J,Locality,073B15,52.80144,-106.97196,Division No. 16,306,America/Regina
25341,Tall Pines,,Saskatchewan,SK,S0E,Locality,063D07,52.34920,-102.64115,Division No. 14,306,America/Regina
25342,Talmage,,Saskatchewan,SK,S4H,Locality,062E13,49.78336,-103.66721,Division No.  2,306,America/Regina
25343,Talon,Le Haut-Richelieu,Quebec,QC,J2W,Locality,031H06,45.35583,-73.27028,Le Haut-Richelieu,450,America/Montreal
25344,Talon,Gatineau,Quebec,QC,J8T,Locality,031G05,45.47833,-75.70139,Gatineau,819,America/Montreal
25345,Taloyoak,Kitikmeot,Nunavut,NU,X0B,Hamlet,057C10,69.53611,-93.52083,Kitikmeot,204,America/Cambridge_Bay
25346,Tamarac Estates,Peel,Ontario,ON,L7K,Locality,040P16,43.93444,-80.00167,Peel,289,America/Toronto
25347,Tamarack,Peace River,British Columbia,BC,V0C,Locality,094H11,57.65000,-121.16667,Peace River,250,America/Dawson_Creek
25348,Tamarisk,Squamish-Lillooet,British Columbia,BC,V8E,Locality,092J03,50.10000,-123.01667,Squamish-Lillooet,604,America/Vancouver
25349,Tam O'Shanter,Toronto,Ontario,ON,M1T,Locality,030M14,43.77722,-79.29750,Toronto,416,America/Toronto
25350,Tam O'Shanter Ridge,Halifax,Nova Scotia,NS,B2X,Locality,011D12,44.68904,-63.52681,Halifax,902,America/Halifax
25351,Tamworth,Lennox and Addington,Ontario,ON,K0K,Locality,031C07,44.48750,-76.99389,Lennox and Addington,613,America/Toronto
25352,Tancook Island,Lunenburg,Nova Scotia,NS,B0J,Locality,021A08,44.46528,-64.16911,Lunenburg,902,America/Halifax
25353,Tancredia,Pontiac,Quebec,QC,J0X,Locality,031F10,45.72000,-76.65083,Pontiac,819,America/Toronto
25354,Tangent,,Alberta,AB,T0H,Locality,083N13,55.79861,-117.67889,Division No. 19,587,America/Edmonton
25355,Tangier,Halifax,Nova Scotia,NS,B0J,Locality,011D15,44.80517,-62.69386,Halifax,902,America/Halifax
25356,Tangleflags,,Saskatchewan,SK,S9V,Locality,073F05,53.48279,-109.62150,Division No. 17,306,America/Edmonton
25357,Tanglewood,Ottawa,Ontario,ON,K2G,Locality,031G05,45.33333,-75.75000,Ottawa,613,America/Toronto
25358,Tanguay,Coaticook,Quebec,QC,J0B,Locality,021E04,45.05278,-71.71028,Coaticook,819,America/Montreal
25359,Tánintsę́ Chú Dachäk,,Yukon,YT,Y0A,Locality,105L04,62.05306,-135.68278,Yukon,250,America/Whitehorse
25360,Tankville,Westmorland,New Brunswick,NB,E1H,Locality,021I02,46.16206,-64.78281,Westmorland,506,America/Moncton
25361,Tanners Settlement,Lunenburg,Nova Scotia,NS,B4V,Locality,021A08,44.35418,-64.36602,Lunenburg,902,America/Halifax
25362,Tannin,Kenora,Ontario,ON,P0V,Locality,052G11,49.65000,-91.00472,Kenora,807,America/Winnipeg
25363,Tanquary Camp,Qikiqtaaluk,Nunavut,NU,X0A,Locality,340D06,81.40000,-76.90000,Qikiqtaaluk,819,America/Iqaluit
25364,Tansley,Halton,Ontario,ON,L7L,Locality,030M05,43.41167,-79.80194,Halton,289,America/Toronto
25365,Tansleyville,Thunder Bay,Ontario,ON,P0T,Locality,042E12,49.61177,-87.93963,Thunder Bay,807,America/Toronto
25366,Tantallon,Halifax,Nova Scotia,NS,B3Z,Locality,011D12,44.65984,-63.90276,Halifax,902,America/Halifax
25367,Tantallon,,Saskatchewan,SK,S0A,Village,062K12,50.53551,-101.84084,Division No.  5,306,America/Regina
25368,Tanu,Skeena-Queen Charlotte,British Columbia,BC,V0T,Locality,103B13,52.76556,-131.61639,Skeena-Queen Charlotte,250,America/Vancouver
25369,Tapley,Peterborough,Ontario,ON,L0A,Locality,031D02,44.17583,-78.50444,Peterborough,705,America/Toronto
25370,Tapley,,Saskatchewan,SK,S6H,Locality,072I05,50.36669,-105.55057,Division No.  7,306,America/Regina
25371,Tapleytown,Hamilton,Ontario,ON,L8J,Locality,030M04,43.18014,-79.73033,Hamilton,289,America/Toronto
25372,Taplow,,Alberta,AB,T0J,Locality,072M12,51.56389,-111.74389,Division No.  4,587,America/Edmonton
25373,Tappen,Columbia-Shuswap,British Columbia,BC,V0E,Locality,082L14,50.78333,-119.33333,Columbia-Shuswap,250,America/Vancouver
25374,Tara,Bruce,Ontario,ON,N0H,Locality,041A06,44.47778,-81.14556,Bruce,519,America/Toronto
25375,Taradale,,Alberta,AB,T3J,Locality,082P04,51.11806,-113.91667,Division No.  6,587,America/Edmonton
25376,Taradale,Thunder Bay,Ontario,ON,P0T,Locality,042F12,49.56222,-85.72833,Thunder Bay,705,America/Toronto
25377,Tarantum,Queens,Prince Edward Island,PE,C1B,Locality,011L07,46.29073,-62.95298,Queens,902,America/Halifax
25378,Tara Siding,Bruce,Ontario,ON,N0H,Locality,041A06,44.47018,-81.14318,Bruce,519,America/Toronto
25379,Tarbert,Dufferin,Ontario,ON,L9W,Locality,040P16,43.94750,-80.32889,Dufferin,519,America/Toronto
25380,Tarbot,Victoria,Nova Scotia,NS,B0C,Locality,011K07,46.33446,-60.59546,Victoria,902,America/Halifax
25381,Tarbotvale,Victoria,Nova Scotia,NS,B0C,Locality,011K07,46.35049,-60.56685,Victoria,902,America/Halifax
25382,Targettville,Kent,New Brunswick,NB,E4T,Locality,021I11,46.54245,-65.03132,Kent,506,America/Moncton
25383,Tar Island,,Alberta,AB,T9H,Locality,074E03,57.00444,-111.48667,Division No. 16,587,America/Edmonton
25384,Tarnopol,,Saskatchewan,SK,S0K,Locality,073A11,52.69646,-105.38448,Division No. 15,306,America/Regina
25385,Tarrtown,Carleton,New Brunswick,NB,E7J,Locality,021J12,46.54674,-67.61464,Carleton,506,America/Moncton
25386,Tarrys,Central Kootenay,British Columbia,BC,V1N,Locality,082F05,49.38333,-117.55000,Central Kootenay,250,America/Vancouver
25387,Tartan,Grey,Ontario,ON,N0G,Locality,041A02,44.12917,-80.72778,Grey,519,America/Toronto
25388,Tartan Lane,,Newfoundland and Labrador,NL,A0A,Locality,001K11,46.68472,-53.43750,Division No.  1,709,America/St_Johns
25389,Tartigou,La Matanie,Quebec,QC,G0J,Locality,022B13,48.75722,-67.79167,La Matanie,581,America/Montreal
25390,Tarzwell,Timiskaming,Ontario,ON,P0J,Locality,042A01,48.00232,-80.01872,Timiskaming,705,America/Toronto
25391,Taschereau,Montréal,Quebec,QC,H4T,Locality,031H05,45.47667,-73.68694,Montréal,514,America/Montreal
25392,Taschereau,Abitibi-Ouest,Quebec,QC,J0Z,Village,032D10,48.66280,-78.68476,Abitibi-Ouest,819,America/Montreal
25393,Ta:shiis,Strathcona,British Columbia,BC,V0P,Locality,092L03,50.14444,-127.10583,Strathcona,250,America/Vancouver
25394,Tashota,Thunder Bay,Ontario,ON,P0T,Locality,042L04,50.23365,-87.67109,Thunder Bay,807,America/Toronto
25395,Tasialurjuap Quurngungata Sijjangit,Nord-du-Québec,Quebec,QC,J0Y,Locality,024M13,59.79167,-71.78139,Nord-du-Québec,819,America/Montreal
25396,Tasialuup Itillinga,Nord-du-Québec,Quebec,QC,J0Y,Locality,034K12,58.68639,-77.70083,Nord-du-Québec,819,America/Montreal
25397,Tasialuup Sijjanga,Nord-du-Québec,Quebec,QC,J0Y,Locality,035K05,62.27833,-77.62555,Nord-du-Québec,819,America/Montreal
25398,Tasiaviup Sijjangit,Nord-du-Québec,Quebec,QC,J0Y,Locality,024M11,59.63139,-71.23722,Nord-du-Québec,819,America/Montreal
25399,Tasikutaap Sivuraliningata Sijjangit,Nord-du-Québec,Quebec,QC,J0M,Locality,025D01,60.12528,-70.28250,Nord-du-Québec,819,America/Montreal
25400,Tasikutaaraaluup Sitialungit,Nord-du-Québec,Quebec,QC,J0Y,Locality,034K10,58.69278,-76.58778,Nord-du-Québec,819,America/Montreal
25401,Tasiqanngituq,Nord-du-Québec,Quebec,QC,J0Y,Locality,034J13,58.90528,-75.57056,Nord-du-Québec,819,America/Montreal
25402,Tasirmiuviup Sijjangit,Nord-du-Québec,Quebec,QC,J0Y,Locality,024N12,59.69333,-69.86972,Nord-du-Québec,819,America/Montreal
25403,Tasiujaq,Nord-du-Québec,Quebec,QC,J0M,Village,024K12,58.70000,-69.93333,Nord-du-Québec,819,America/Montreal
25404,Tasiviup Sijjangit Tarrasiit,Nord-du-Québec,Quebec,QC,J0Y,Locality,024M11,59.66417,-71.00806,Nord-du-Québec,819,America/Montreal
25405,Tasu,Skeena-Queen Charlotte,British Columbia,BC,V0T,Locality,103C16,52.76611,-132.03500,Skeena-Queen Charlotte,250,America/Vancouver
25406,Ta Ta Creek,East Kootenay,British Columbia,BC,V0B,Locality,082G13,49.78333,-115.78333,East Kootenay,250,America/Edmonton
25407,Tatagwa,,Saskatchewan,SK,S4H,Locality,072H09,49.65197,-104.00307,Division No.  2,306,America/Regina
25408,Tatainaq,Nord-du-Québec,Quebec,QC,J0Y,Locality,034O11,59.71306,-75.46750,Nord-du-Québec,819,America/Montreal
25409,Tatalrose,Bulkley-Nechako,British Columbia,BC,V0J,Locality,093F13,53.98333,-125.98333,Bulkley-Nechako,250,America/Vancouver
25410,Tatamagouche,Colchester,Nova Scotia,NS,B0K,Village,011E11,45.71214,-63.29109,Colchester,902,America/Halifax
25411,Tatamagouche Mountain,Colchester,Nova Scotia,NS,B6L,Locality,011E11,45.63156,-63.26886,Colchester,902,America/Halifax
25412,Tate,,Saskatchewan,SK,S0A,Locality,072P07,51.44256,-104.82966,Division No. 10,306,America/Regina
25413,Tate Corners,Middlesex,Ontario,ON,N0L,Locality,040I12,42.71833,-81.63028,Middlesex,519,America/Toronto
25414,Tatehurst,Le Haut-Saint-Laurent,Quebec,QC,J0S,Locality,031G01,45.14251,-74.01413,Le Haut-Saint-Laurent,450,America/Montreal
25415,Tatla Lake,Cariboo,British Columbia,BC,V0L,Locality,092N15,51.90000,-124.60000,Cariboo,250,America/Vancouver
25416,Tatlayoko Lake,Cariboo,British Columbia,BC,V0L,Locality,092N09,51.71639,-124.43472,Cariboo,250,America/Vancouver
25417,Tatlock,Lanark,Ontario,ON,K0G,Locality,031F01,45.16722,-76.48056,Lanark,613,America/Toronto
25418,Tatlow,Bulkley-Nechako,British Columbia,BC,V0J,Locality,093L11,54.70000,-127.11667,Bulkley-Nechako,250,America/Vancouver
25419,Tatnall,Algoma,Ontario,ON,P0M,Locality,042C09,48.68639,-84.22250,Algoma,705,America/Toronto
25420,Tatogga,Kitimat-Stikine,British Columbia,BC,V0J,Locality,104H12,57.73472,-129.98889,Kitimat-Stikine,250,America/Vancouver
25421,Tatsfield,,Saskatchewan,SK,S0M,Locality,073C14,52.81578,-109.16782,Division No. 13,306,America/Regina
25422,Tatton,Cariboo,British Columbia,BC,V0K,Locality,092P11,51.71667,-121.36667,Cariboo,250,America/Vancouver
25423,Tattons Corner,Charlotte,New Brunswick,NB,E5G,Locality,021B15,44.76552,-66.76257,Charlotte,506,America/Moncton
25424,Taunton,Durham,Ontario,ON,L1E,Locality,030M15,43.94361,-78.82917,Durham,289,America/Toronto
25425,Tavani,Kivalliq,Nunavut,NU,X0C,Locality,055K03,62.06667,-93.10000,Kivalliq,204,America/Rankin_Inlet
25426,Taverna,Fraser-Fort George,British Columbia,BC,V0E,Locality,083D14,52.97361,-119.41389,Fraser-Fort George,250,America/Vancouver
25427,Tavistock,Oxford,Ontario,ON,N0B,Locality,040P07,43.32167,-80.83556,Oxford,519,America/Toronto
25428,Tawa,,Alberta,AB,T6L,Locality,083H06,53.46111,-113.42361,Division No. 11,587,America/Edmonton
25429,Tawatinaw,,Alberta,AB,T0G,Locality,083I06,54.29806,-113.48333,Division No. 13,587,America/Edmonton
25430,Taxis River,Northumberland,New Brunswick,NB,E6A,Locality,021J08,46.44978,-66.46506,Northumberland,506,America/Moncton
25431,Tay Creek,York,New Brunswick,NB,E6B,Locality,021J02,46.23058,-66.81436,York,506,America/Moncton
25432,Tay Falls,York,New Brunswick,NB,E6B,Locality,021J02,46.22740,-66.77250,York,506,America/Moncton
25433,Taylor,,Alberta,AB,T0M,Locality,082P07,51.34417,-112.76028,Division No.  5,587,America/Edmonton
25434,Taylor,Peace River,British Columbia,BC,V0C,Municipality,094A02,56.15917,-120.68667,Peace River,250,America/Dawson_Creek
25435,Taylor,Leeds and Grenville,Ontario,ON,K7G,Locality,031C08,44.41472,-76.21222,Leeds and Grenville,613,America/Toronto
25436,Taylor Beach,,Saskatchewan,SK,S0G,Hamlet,062L12,50.69909,-103.65019,Division No.  6,306,America/Regina
25437,Taylor Corners,Kawartha Lakes,Ontario,ON,K0M,Locality,031D07,44.33917,-78.84972,Kawartha Lakes,705,America/Toronto
25438,Taylor's Bay,,Newfoundland and Labrador,NL,A0E,Locality,001L13,46.87611,-55.72639,Division No.  2,709,America/St_Johns
25439,Taylors Head,Halifax,Nova Scotia,NS,B0J,Locality,011D15,44.81241,-62.56717,Halifax,902,America/Halifax
25440,Taylorside,,Saskatchewan,SK,S0E,Locality,073A15,52.85638,-104.88213,Division No. 15,306,America/Regina
25441,Taylors Road,Antigonish,Nova Scotia,NS,B2G,Locality,011F12,45.61054,-61.87678,Antigonish,902,America/Halifax
25442,Taylor Village,Westmorland,New Brunswick,NB,E4K,Locality,021H15,45.93785,-64.55103,Westmorland,506,America/Moncton
25443,Taylorville,,Alberta,AB,T0K,Locality,082H03,49.03556,-113.12167,Division No.  3,587,America/Edmonton
25444,Tay Mills,York,New Brunswick,NB,E6B,Locality,021J02,46.18328,-66.79697,York,506,America/Moncton
25445,Taymouth,York,New Brunswick,NB,E6C,Locality,021J02,46.18264,-66.60731,York,506,America/Moncton
25446,Tayside,Stormont Dundas and Glengarry,Ontario,ON,K0C,Locality,031G07,45.29419,-74.96068,Stormont Dundas and Glengarry,613,America/Toronto
25447,Tay Valley,York,New Brunswick,NB,E6B,Locality,021J02,46.20786,-66.69107,York,506,America/Moncton
25448,Tchesinkut Lake,Bulkley-Nechako,British Columbia,BC,V0J,Locality,093K04,54.08333,-125.73333,Bulkley-Nechako,250,America/Vancouver
25449,Tcîbâtik Sâgik,La Vallée-de-l'Or,Quebec,QC,J0Z,Locality,031N11,47.53444,-77.04556,La Vallée-de-l'Or,819,America/Montreal
25450,Tcorecik,La Tuque,Quebec,QC,G0X,Locality,031O09,47.64944,-74.15361,La Tuque,819,America/Montreal
25451,Tea Cove,,Newfoundland and Labrador,NL,A0N,Locality,012B10,48.64218,-58.96910,Division No.  4,709,America/St_Johns
25452,Teahans Corner,Albert,New Brunswick,NB,E4H,Locality,021H10,45.70905,-64.95534,Albert,506,America/Moncton
25453,Tea Hill,Queens,Prince Edward Island,PE,C1B,Locality,011L03,46.21111,-63.06667,Queens,902,America/Halifax
25454,Teakerne Arm,Strathcona,British Columbia,BC,V0P,Locality,092K02,50.18611,-124.81528,Strathcona,250,America/Vancouver
25455,Teakle,,Saskatchewan,SK,S0H,Locality,072J11,50.60004,-107.11732,Division No.  7,306,America/Regina
25456,Tecumseh,Essex,Ontario,ON,N0R,Town,040J07,42.24306,-82.92556,Essex,519,America/Toronto
25457,Teeds Mills,Carleton,New Brunswick,NB,E7M,Locality,021J04,46.10261,-67.62619,Carleton,506,America/Moncton
25458,Tee Lake,Témiscamingue,Quebec,QC,J0Z,Locality,031L14,46.75583,-79.04444,Témiscamingue,819,America/Montreal
25459,Teepee Creek,,Alberta,AB,T0H,Locality,083M08,55.37417,-118.40972,Division No. 19,587,America/Edmonton
25460,Tees,,Alberta,AB,T0C,Locality,083A06,52.46750,-113.32083,Division No.  8,587,America/Edmonton
25461,Teeshohsum,Powell River,British Columbia,BC,V8A,Locality,092F15,49.89694,-124.60833,Powell River,250,America/Vancouver
25462,Teeswater,Bruce,Ontario,ON,N0G,Locality,040P14,43.99778,-81.28611,Bruce,519,America/Toronto
25463,Teeterville,Haldimand-Norfolk,Ontario,ON,N0E,Locality,040I16,42.94472,-80.44306,Haldimand-Norfolk,519,America/Toronto
25464,Tehkummah,Manitoulin,Ontario,ON,P0P,Locality,041G09,45.65498,-82.01566,Manitoulin,705,America/Toronto
25465,Teko,Peace River,British Columbia,BC,V0C,Locality,094A02,56.15000,-120.75000,Peace River,250,America/Dawson_Creek
25466,Telachick,Fraser-Fort George,British Columbia,BC,V2N,Locality,093G14,53.86667,-123.20000,Fraser-Fort George,250,America/Vancouver
25467,Telegraph Cove,Mount Waddington,British Columbia,BC,V0N,Locality,092L10,50.54833,-126.83000,Mount Waddington,250,America/Vancouver
25468,Telegraph Creek,Kitimat-Stikine,British Columbia,BC,V0J,Locality,104G14,57.90000,-131.16667,Kitimat-Stikine,250,America/Vancouver
25469,Telegraph Hill,Montmagny,Quebec,QC,G0R,Locality,021M02,47.01833,-70.67667,Montmagny,581,America/Montreal
25470,Telfer,Middlesex,Ontario,ON,N0M,Locality,040P03,43.04868,-81.39568,Middlesex,519,America/Toronto
25471,Telford,,Manitoba,MB,R0E,Locality,052E14,49.84028,-95.38556,Division No.  1,204,America/Winnipeg
25472,Telford,Pictou,Nova Scotia,NS,B0K,Locality,011E09,45.57201,-62.46047,Pictou,902,America/Halifax
25473,Telfordville,,Alberta,AB,T0C,Locality,083G08,53.27333,-114.17056,Division No. 11,587,America/Edmonton
25474,Telkwa,Bulkley-Nechako,British Columbia,BC,V0J,Village,093L11,54.69667,-127.05083,Bulkley-Nechako,250,America/Vancouver
25475,Tellier,Sept-Rivières – Caniapiscau,Quebec,QC,G0G,Locality,022J08,50.39306,-66.16528,Sept-Rivières – Caniapiscau,581,America/Montreal
25476,Telly Road Crossing,Northumberland,New Brunswick,NB,E1V,Locality,021P04,47.11070,-65.60463,Northumberland,506,America/Moncton
25477,Temagami,Nipissing,Ontario,ON,P0H,Town,031M04,47.06403,-79.79173,Nipissing,705,America/Toronto
25478,Temagami North,Nipissing,Ontario,ON,P0H,Locality,031M04,47.11194,-79.79000,Nipissing,705,America/Toronto
25479,Témiscaming,Témiscamingue,Quebec,QC,J0Z,City,031L11,46.72207,-79.09312,Témiscamingue,819,America/Montreal
25480,Témiscouata-sur-le-Lac,Témiscouata,Quebec,QC,G0L,City,021N10,47.68333,-68.88333,Témiscouata,581,America/Montreal
25481,Temiskaming Shores,Timiskaming,Ontario,ON,P0J,City,031M05,47.49361,-79.71528,Timiskaming,705,America/Toronto
25482,Temperance Vale,York,New Brunswick,NB,E6G,Locality,021J03,46.06306,-67.24795,York,506,America/Moncton
25483,Temperanceville,York,Ontario,ON,L4E,Locality,030M14,43.93889,-79.48139,York,289,America/Toronto
25484,Tempest,,Alberta,AB,T1M,Locality,082H10,49.74667,-112.52389,Division No.  2,587,America/Edmonton
25485,Temple,,Alberta,AB,T0L,Locality,082N08,51.37250,-116.10194,Division No. 15,587,America/Edmonton
25486,Temple,,Alberta,AB,T1Y,Locality,082P04,51.08333,-113.95000,Division No.  6,587,America/Edmonton
25487,Temple,York,New Brunswick,NB,E6H,Locality,021G14,45.97993,-67.42696,York,506,America/Moncton
25488,Temple Hill,Grey,Ontario,ON,N0C,Locality,041A07,44.46056,-80.62417,Grey,519,America/Toronto
25489,Templeman,,Newfoundland and Labrador,NL,A0G,Locality,002F04,49.19833,-53.55194,Division No.  7,709,America/St_Johns
25490,Templeton,Gatineau,Quebec,QC,J8P,Locality,031G05,45.49278,-75.60500,Gatineau,819,America/Montreal
25491,Templeton-Est,Gatineau,Quebec,QC,J8P,Locality,031G05,45.49389,-75.58833,Gatineau,819,America/Montreal
25492,Templeton-Ouest,Gatineau,Quebec,QC,J8T,Locality,031G05,45.48333,-75.70250,Gatineau,819,America/Montreal
25493,Tempo,Middlesex,Ontario,ON,N6P,Locality,040I14,42.85659,-81.27790,Middlesex,519,America/Toronto
25494,Tenaga,Les Collines-de-l'Outaouais,Quebec,QC,J9B,Locality,031G12,45.52833,-75.80194,Les Collines-de-l'Outaouais,819,America/Montreal
25495,Tenby,,Manitoba,MB,R0J,Locality,062J06,50.49972,-99.12750,Division No.  8,204,America/Winnipeg
25496,Tenby Bay,Algoma,Ontario,ON,P0R,Locality,041J04,46.13083,-83.92583,Algoma,705,America/Toronto
25497,Ten Mile,,Yukon,YT,Y0A,Locality,105D01,60.16361,-134.37722,Yukon,250,America/Whitehorse
25498,Tenmile House,Queens,Prince Edward Island,PE,C0A,Locality,011L07,46.33452,-62.98304,Queens,902,America/Halifax
25499,Ten Mile Lake,Cariboo,British Columbia,BC,V2J,Locality,093G01,53.08333,-122.43333,Cariboo,250,America/Vancouver
25500,Ten Mile Lake,Halifax,Nova Scotia,NS,B0N,Locality,011E02,45.13308,-62.68267,Halifax,902,America/Halifax
25501,Tennants Cove,Kings,New Brunswick,NB,E5T,Locality,021G09,45.57254,-66.01533,Kings,506,America/Moncton
25502,Tennessee,Roussillon,Quebec,QC,J5A,Locality,031H05,45.36500,-73.65306,Roussillon,450,America/Montreal
25503,Tennion,,Alberta,AB,T0K,Locality,082H15,49.95944,-112.57722,Division No.  2,587,America/Edmonton
25504,Tennycape,Hants,Nova Scotia,NS,B0N,Locality,011E05,45.26576,-63.87647,Hants,902,America/Halifax
25505,Tennyson,Lanark,Ontario,ON,K7A,Locality,031F01,45.03878,-76.15969,Lanark,613,America/Toronto
25506,Tent City,Simcoe,Ontario,ON,L9S,Locality,031D05,44.29389,-79.53056,Simcoe,705,America/Toronto
25507,Terence Bay,Halifax,Nova Scotia,NS,B3T,Locality,011D05,44.47011,-63.72159,Halifax,902,America/Halifax
25508,Terence Bay River,Halifax,Nova Scotia,NS,B3T,Locality,011D05,44.49482,-63.73264,Halifax,902,America/Halifax
25509,Terminal Beach,Halifax,Nova Scotia,NS,B2Z,Locality,011D11,44.63870,-63.31913,Halifax,902,America/Halifax
25510,Terminus,Lambton,Ontario,ON,N0P,Locality,040J09,42.69104,-82.33042,Lambton,519,America/Toronto
25511,Terrace,Kitimat-Stikine,British Columbia,BC,V8G,City,103I10,54.51639,-128.59972,Kitimat-Stikine,250,America/Vancouver
25512,Terrace Bay,Thunder Bay,Ontario,ON,P0T,Locality,042D14,48.78194,-87.10139,Thunder Bay,705,America/Toronto
25513,Terrace Heights,,Alberta,AB,T6A,Locality,083H11,53.54028,-113.43472,Division No. 11,587,America/Edmonton
25514,Terrace Heights,Pictou,Nova Scotia,NS,B2H,Locality,011E10,45.60257,-62.65289,Pictou,902,America/Halifax
25515,Terrace Hill,Brant,Ontario,ON,N3R,Locality,040P01,43.15194,-80.26889,Brant,519,America/Toronto
25516,Terra Cotta,Peel,Ontario,ON,L7C,Locality,030M12,43.71906,-79.93521,Peel,289,America/Toronto
25517,Terrains de L'Évêque,Kent,New Brunswick,NB,E4T,Locality,021I06,46.26714,-65.04581,Kent,506,America/Moncton
